,Rankings,College Name,Area Type,Region,Ownership,Student-to-Faculty Ratio,Enrolled Full Time Total,Average GPA,Average SATVR,Average SATMT
188,210.0,Juniata College,Town: Distant,Mid East,Private not-for-profit independent,11.0,350.0,3.8,,
189,210.0,University Of Scranton,City: Small,Mid East,Private not-for-profit religious,13.0,954.0,3.5,605.0,595.0
190,210.0,Wofford College,City: Small,Southeast,Private not-for-profit religious,11.0,465.0,3.6,635.0,630.0
191,210.0,Washington & Jefferson College,Suburb: Large,Mid East,Private not-for-profit independent,11.0,351.0,3.7,,
192,215.0,American University,City: Large,Mid East,Private not-for-profit religious,12.0,1752.0,3.7,665.0,635.0
193,215.0,Gonzaga University,City: Midsize,Far West,Private not-for-profit religious,11.0,1196.0,3.8,635.0,635.0
194,218.0,Samford University,Suburb: Large,Southeast,Private not-for-profit religious,12.0,958.0,3.8,601.0,570.0
195,219.0,Quinnipiac University,Suburb: Large,New England,Private not-for-profit independent,14.0,1895.0,3.5,590.0,585.0
196,219.0,Florida Institute Of Technology,City: Small,Southeast,Private not-for-profit independent,14.0,779.0,3.7,615.0,630.0
197,221.0,Marietta College,Town: Fringe,Great Lakes,Private not-for-profit independent,9.0,347.0,3.4,552.5,547.5
198,223.0,Manhattan College,City: Large,Mid East,Private not-for-profit religious,13.0,813.0,3.5,585.0,580.0
199,223.0,Lake Forest College,Suburb: Large,Great Lakes,Private not-for-profit independent,12.0,389.0,3.6,,
200,223.0,Chapman University,City: Midsize,Far West,Private not-for-profit religious,13.0,1656.0,3.8,640.0,640.0
201,226.0,Florida State University,City: Midsize,Southeast,Public,21.0,6260.0,4.0,645.0,630.0
202,226.0,Lawrence University,City: Small,Great Lakes,Private not-for-profit independent,8.0,396.0,3.5,660.0,670.0
203,226.0,Beloit College,City: Small,Great Lakes,Private not-for-profit independent,10.0,266.0,3.3,620.0,620.0
204,229.0,Rollins College,Suburb: Large,Southeast,Private not-for-profit independent,10.0,549.0,3.3,,
205,229.0,Xavier University,City: Large,Great Lakes,Private not-for-profit religious,11.0,1399.0,3.5,585.0,575.0
206,232.0,Duquesne University,City: Large,Mid East,Private not-for-profit religious,13.0,1507.0,3.8,615.0,595.0
207,233.0,Catholic University Of America,City: Large,Mid East,Private not-for-profit religious,7.0,833.0,3.5,,
208,235.0,Saint Anselm College,Suburb: Midsize,New England,Private not-for-profit religious,11.0,591.0,3.3,615.0,600.0
209,235.0,Providence College,City: Midsize,New England,Private not-for-profit religious,11.0,1121.0,3.5,640.0,645.0
